date,[btc] TBTC,[btc] WBTC,[btc] renBTC,[btc] SBTC,[stablecoin] DAI,[stablecoin] USDC,[stablecoin] USDT,[veth2] WETH,[veth2] vETH2,[aleth] WETH,[aleth] alETH,[aleth] sETH,[d4] alUSD,[d4] FEI,[d4] FRAX,[d4] LUSD,[stablecoin_v2] DAI,[stablecoin_v2] USDC,[stablecoin_v2] USDT
2021-09-14T00:00:00+00:00,1254788.291744694,915596.8469737772,36161.1313956536,0,0,0,0,0,0,337707.57141084387,769238.7561111156,315815.14180892357,3295.9234063069224248,187212.547789999876,3286.9466230230247638,0,566.1674396766902382,814981.9845370000000000,4414.2050410000000000
2021-09-13T00:00:00+00:00,0,8138.978180384199,0,1.8401952323250264,0,0,0,0,0,114030.50411739227,73683.75307883126,170528.77392756788,0,1055967.726602572689,1050938.5025875898789994,580269.840352713947,4513.96485406982086331400,256247.4429860000000000,1202.4462220000000000
2021-09-12T00:00:00+00:00,91877.21416022482,22991.9401885378,961.5676111106,0,0,0,0,0,0,48463.76840991701,1019932.3109409717,1984372.1252148962,0,828537.2503023064612479,256526.766839446038,0,725621.0577099361054974,1259098.4139480000000000,19344.8939430000000000
2021-09-11T00:00:00+00:00,0,0,1083949.55042233,1030.4975855773844,0,0,0,0,0,1231788.0414874249,322859.7785413691,1265702.0557367387,7556.0699711700122261,8372.1773913108432361,0,0,0,3549.2956070000000000,8672.7265650000000000
2021-09-10T00:00:00+00:00,0,15568.4321491155,205901.00854796302,0,0,0,0,0,0,44679.25985195067,793474.5217917397,0,313792.624632878267,1237824.918697047637,1431142.726565807658,0,0,793.4145930000000000,22.0388160000000000
2021-09-09T00:00:00+00:00,0,649419.840225176,200727.821836946,0,0,0,0,0,0,1303136.4378653583,0,0,128100.206844762475,1668506.387606965732,2009661.884781354895,433018.902661584724,702.9796626103459980,181.3055800000000000,8.4914550000000000
2021-09-08T00:00:00+00:00,8963.64058929178,879371.8461944325,0,0,0,0,20275.235916000000,0,0,145528.59261964224,809253.761563649,0,8936.5971448974992546,1326598.3753166608678299,205409.717344292182,67682.478714789532,1152994.374150760178,42857.723325000000,0
2021-09-07T00:00:00+00:00,106268.86938179139,70765.7725255986,0,0,0,0,13983.8558200000000000,0,0,0,790771.8536399989,0,3458983.5480853364951634,8048882.7657206000161625,4705667.307086433708,2466135.654120443164,0,152444.9369040000000000,1197285.058183000000
2021-09-06T00:00:00+00:00,55208.621579561936,670018.893930921,81017.7379072835,0,0,0,0,0,0,113870.44573856294,466563.12699458696,0,0,99369.267284998013,434390.3358129906196607,389908.283523232007,0,0,0
2021-09-05T00:00:00+00:00,331932.01635666,14807.0312972352,160815.92800854842,0,0,0,0,0,0,969.9067291022197,465129.5260481727,0,0,911815.102663351285,0,0,0,0,1999.7433740000000000
